Id,qc_code,LotFrontage,LotArea,BldgType,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
train_8164,2161751,80,5000,1Fam,2,0,8,1882,673,3,GasA,Y,2000,0,2009,219063.178936629
train_3648,109214231,85,14977,1Fam,2,0,9,1882,1190,3,GasA,Y,1350,0,2010,216121.745488758
train_2380,23232234,70,15593,Twnhs,1,1,6,1885,1734,3,GasA,Y,1040,0,2007,111755.184548707
train_2391,23232234,60,11988,1Fam,1,1,5,1885,624,3,GasA,Y,1962,0,2008,119744.115086613
train_61,19921184,85,9505,1Fam,2,1,12,1885,1734,2,GasA,Y,1487,0,2009,126483.616212155
train_9637,19921184,121,5825,1Fam,2,1,7,1885,561,3,GasA,Y,1057,0,2008,94415.4493915702
test_227,19921184,37,11443,TwnhsE,2,0,7,1885,1291,2,GasA,Y,1456,0,2006,
test_1630,19921184,50,13159,1Fam,2,0,6,1885,1414,3,GasA,Y,3222,0,2007,
test_3461,19921184,53,10480,1Fam,1,1,8,1885,611,2,GasA,Y,1229,0,2007,
test_239,2860211,57,5100,TwnhsE,1,1,6,1885,1372,3,GasA,Y,784,0,2007,
train_1954,4121950,80,9549,TwnhsE,2,0,5,1885,1417,3,GasA,N,789,0,2009,69115.8413584386
train_1322,87199179,59,16770,1Fam,1,1,6,1885,975,3,GasA,Y,1383,0,2007,111537.691426497
test_82,87199179,67,11838,1Fam,1,0,6,1885,1094,4,GasA,Y,1284,0,2007,
test_1040,87199179,,8400,2fmCon,2,1,7,1885,1053,3,GasA,N,988,0,2009,
test_1307,87199179,55,10800,1Fam,2,0,7,1885,1452,4,GasA,Y,924,0,2008,
train_1103,16932225,,6120,1Fam,1,1,7,1885,2330,2,GasA,N,894,0,2007,206602.048950978
train_8476,140253130,24,6930,1Fam,1,0,5,1885,1088,3,GasA,Y,2715,0,2009,196812.416842651
test_4945,140253130,57,12735,TwnhsE,1,1,7,1885,1649,3,GasW,Y,630,0,2007,
train_923,75107234,75,15660,1Fam,2,0,8,1885,1952,3,GasA,Y,864,0,2010,198931.302414309
train_5865,75107234,75,3072,1Fam,2,0,7,1885,952,3,GasA,N,1428,0,2009,157901.298969778
test_3961,21848142,74,9066,1Fam,1,1,9,1885,1470,2,GasA,Y,2614,0,2007,
test_3556,254104193,80,10778,1Fam,3,0,5,1885,817,2,GasA,Y,1968,0,2009,
train_4514,248154,47,16259,1Fam,2,0,14,1890,896,2,GasA,Y,1131,0,2007,232116.062413078
train_439,222154225,120,17920,Twnhs,1,0,6,1890,630,3,GasA,Y,848,0,2008,99910.7200173612
test_113,23232234,74,11302,Duplex,2,1,6,1890,1461,3,GasA,Y,1502,0,2006,
test_1744,1312151,,8892,1Fam,1,0,8,1890,1208,3,GasA,Y,1131,0,2008,
test_940,2429160,,8520,1Fam,2,0,5,1890,944,3,GasA,Y,1376,0,2008,
train_6572,19921184,60,1680,1Fam,2,0,8,1890,624,4,GasA,Y,1632,0,2007,110391.195567492
test_1103,19921184,100,10083,1Fam,2,0,6,1890,793,3,GasA,Y,1123,0,2007,
test_2469,2860211,34,11924,1Fam,1,0,6,1890,1128,4,GasA,Y,2320,0,2009,
test_4242,2860211,73,6993,1Fam,2,0,8,1890,1248,2,GasA,Y,980,0,2006,
train_1346,4121950,65,7577,1Fam,2,0,6,1890,1088,3,GasA,Y,1774,0,2007,170960.360084229
train_9353,4121950,,21384,1Fam,2,0,6,1890,0,3,GasA,Y,1053,0,2006,126000.290902971
test_1332,24644229,75,6629,1Fam,2,1,5,1890,816,6,GasA,Y,918,0,2006,
test_1885,22012553,,9600,1Fam,2,0,6,1890,0,2,GasA,Y,1041,0,2006,
test_3486,22012553,,9991,1Fam,2,0,10,1890,1079,4,GasA,Y,2668,0,2008,
train_4581,87199179,84,9571,TwnhsE,2,1,9,1890,686,3,GasA,Y,1109,0,2008,104386.023924471
train_3387,16932225,,5062,1Fam,2,0,6,1890,270,3,GasA,Y,1652,0,2006,117045.024371802
test_3352,16932225,90,3982,1Fam,1,0,6,1890,1214,1,GasA,Y,1028,0,2009,
train_4266,97195160,62,10005,1Fam,2,0,6,1890,1057,3,GasA,Y,1350,0,2007,142681.942539824
train_4548,140253130,70,4435,1Fam,1,0,7,1890,900,3,GasA,Y,784,0,2010,83072.3904947788
train_7417,140253130,72,12704,1Fam,2,1,6,1890,948,3,GasA,Y,1340,0,2006,130726.445186766
train_360,15073124,50,4500,Duplex,1,1,6,1890,840,2,GasA,Y,1296,0,2010,150012.723820746
train_7751,75107234,44,7590,TwnhsE,2,1,9,1890,742,3,GasA,Y,2466,0,2007,139771.069152426
train_4886,13910521,43,16466,Duplex,2,1,7,1890,941,3,GasA,Y,1620,0,2006,191068.197940329
test_3929,13910521,50,14364,1Fam,2,1,5,1890,1257,3,GasA,Y,1826,0,2007,
test_1572,707033,65,9588,1Fam,2,1,3,1890,990,4,GasA,Y,2200,0,2006,
test_3066,254104193,75,9937,Duplex,2,0,5,1890,964,3,GasA,Y,1050,0,2006,
train_1046,1222416,60,13811,1Fam,1,0,5,1892,860,4,GasA,Y,3228,0,2008,341555.171467595
train_596,2429160,70,10637,2fmCon,1,0,10,1892,1040,2,GasA,Y,1456,0,2007,104733.170432646
train_459,87199179,55,15578,1Fam,1,0,9,1892,2046,2,GasA,Y,1768,0,2006,204511.884059018
train_4422,87199179,75,1680,1Fam,2,1,10,1892,1175,3,GasA,N,768,0,2009,112338.064928383
train_7695,87199179,80,8320,1Fam,2,1,6,1892,864,2,GasA,Y,1266,0,2009,143755.93329022
train_6028,97195160,75,7000,2fmCon,1,1,6,1892,996,3,GasA,Y,1008,0,2008,126266.527219669
test_3817,97195160,85,10240,1Fam,1,0,8,1892,1379,2,GasA,Y,1593,0,2007,
train_7253,25169250,58,14859,Duplex,1,0,11,1892,832,3,GasA,Y,1363,0,2008,111012.467749233
train_920,140253130,,7175,1Fam,2,1,5,1892,1337,3,GasA,Y,1422,0,2008,182470.853141417
test_2586,140253130,80,11478,1Fam,2,0,7,1892,1392,3,GasA,Y,2097,0,2008,
train_6932,707033,66,13478,1Fam,1,1,9,1892,1057,3,GasA,Y,1721,0,2009,162695.974736824
test_1535,1534992,72,12508,1Fam,2,0,7,1892,1952,3,GasA,Y,1750,0,2006,
test_4000,23232234,60,9750,1Fam,1,0,6,1893,1056,2,GasA,Y,1422,0,2008,
test_4151,23232234,35,3182,1Fam,1,0,8,1893,788,2,GasA,Y,864,0,2008,
train_3916,19921184,70,9550,1Fam,2,1,5,1893,1410,4,GasA,Y,2200,0,2007,140482.4901534
train_6010,19921184,78,7340,1Fam,2,0,10,1893,1248,3,GasA,N,1077,0,2007,97594.8411021629
train_6042,87199179,60,10463,1Fam,2,0,6,1893,720,2,GasA,Y,1440,0,2010,106833.519988269
train_8454,87199179,50,10382,1Fam,2,1,8,1893,1698,5,GasA,Y,1709,0,2008,152040.484481598
test_3138,87199179,80,159000,1Fam,2,0,5,1893,936,4,GasA,Y,1494,0,2009,
test_836,16932225,80,5389,1Fam,2,0,5,1893,941,3,GasA,Y,1496,0,2007,
train_3424,97195160,34,32668,1Fam,1,1,7,1893,1078,3,GasA,Y,2576,0,2009,171280.267549295
train_9447,140253130,100,16659,1Fam,2,1,7,1893,1145,3,GasA,Y,1057,0,2007,158256.191111443
test_493,140253130,34,12474,1Fam,1,0,6,1893,990,3,GasA,Y,1026,0,2007,
train_2831,13910521,80,14803,TwnhsE,2,0,9,1893,1416,4,GasA,Y,1050,0,2006,154877.70909659
test_3233,707033,122,9150,2fmCon,2,0,6,1893,825,3,GasA,Y,1720,0,2008,
train_9720,2161751,48,7200,1Fam,2,1,4,1893,1161,3,GasA,N,2520,0,2009,246854.306866653
train_9441,1534992,57,13682,1Fam,1,0,8,1893,1034,2,GasA,Y,1928,0,2007,263834.186918238
test_4921,231147216,76,7200,1Fam,2,0,6,1898,1256,3,GasA,Y,1320,0,2010,
train_8777,23232234,80,9591,1Fam,1,0,8,1898,1330,3,GasA,Y,1376,0,2009,108205.391764251
train_1624,19921184,69,11911,1Fam,1,1,8,1898,861,2,GasA,Y,1200,0,2007,132465.060427369
train_1848,2860211,,15426,1Fam,2,1,7,1898,1070,2,GasA,Y,1121,0,2007,140293.072753901
train_4089,4121950,,4671,1Fam,2,1,6,1898,1029,3,GasA,Y,1750,0,2010,102430.708398718
test_3494,16932225,90,4224,1Fam,1,1,10,1898,1566,3,GasA,Y,2519,0,2008,
train_4190,97195160,,5925,1Fam,1,1,7,1898,728,4,GasA,Y,1489,0,2007,95178.2610007093
train_9812,97195160,,115149,1Fam,2,0,7,1898,978,4,GasA,Y,1496,0,2009,156834.239793549
train_5675,140253130,60,9187,1Fam,2,0,7,1898,630,3,GasA,Y,925,0,2006,97227.1951219716
test_2052,75107234,57,13907,1Fam,1,0,7,1898,1073,3,GasA,Y,1269,0,2006,
test_2787,19317133,50,12095,1Fam,2,0,5,1898,1293,2,GasA,Y,1539,0,2006,
train_6772,1042019,,11457,1Fam,1,1,6,1900,1541,3,GasA,Y,2028,0,2007,263450.46183909
train_4178,129251161,,11670,1Fam,1,1,7,1900,700,2,GasA,Y,955,0,2006,137259.67444732
train_4571,681210,80,13501,1Fam,1,1,5,1900,1032,3,GasA,Y,1993,0,2006,174283.593910155
train_2673,16640220,40,9819,1Fam,1,1,8,1900,868,3,GasA,Y,2344,0,2008,198931.838536498
train_8378,242133229,,115149,1Fam,1,0,5,1900,1040,3,GasA,Y,1352,0,2007,175006.11464295
train_3,23232234,60,12150,Duplex,2,0,6,1900,360,4,GasA,Y,1573,0,2007,133078.468911016
train_9065,23232234,50,8546,1Fam,1,0,7,1900,816,2,GasA,N,2078,0,2009,107779.18139994
test_4967,23232234,,10463,1Fam,2,0,8,1900,1145,3,GasA,Y,1431,0,2007,
test_1018,1312151,,8430,1Fam,2,0,6,1900,969,3,GasA,Y,2398,0,2008,
test_3788,1312151,52,4438,1Fam,1,1,9,1900,1258,2,GasA,Y,1928,0,2008,
train_2052,5082142,96,6380,TwnhsE,1,0,6,1900,840,4,GasA,Y,1200,0,2008,79073.4870529167
train_3344,22521240,,9920,TwnhsE,3,0,6,1900,864,2,GasA,Y,848,0,2008,108457.550156074
train_3461,22521240,65,7060,1Fam,1,1,5,1900,964,2,GasA,Y,1572,0,2009,141350.326816924
test_4360,2429160,,10637,1Fam,2,0,3,1900,1028,2,GasA,Y,869,0,2007,
train_1655,19921184,90,2289,1Fam,1,1,8,1900,822,3,GasA,Y,1518,0,2008,155392.960550269
train_3628,19921184,65,7588,Duplex,1,1,6,1900,2078,3,GasA,Y,1576,0,2008,153074.109779955
train_4968,19921184,67,6120,1Fam,2,1,10,1900,979,2,GasA,Y,1477,0,2009,138619.162016027
train_4988,19921184,60,16059,Duplex,1,0,7,1900,847,3,GasA,Y,1691,0,2010,137371.076926031
train_5680,19921184,60,8405,1Fam,1,0,5,1900,1063,3,GasA,Y,1291,0,2007,132937.977943672
train_6221,19921184,61,10542,1Fam,0,0,8,1900,1311,4,GasA,Y,1198,0,2010,115715.321500791
train_6494,19921184,78,12342,1Fam,1,0,6,1900,912,3,GasA,Y,773,0,2008,133716.019654018
train_6676,19921184,70,8750,1Fam,2,0,10,1900,0,3,GasA,Y,864,0,2006,76195.5499534615
train_6859,19921184,59,8773,1Fam,1,1,6,1900,520,2,GasA,Y,1392,0,2007,103619.332045334
train_6934,19921184,60,6629,1Fam,3,1,8,1900,1008,3,GasA,Y,2262,0,2009,137358.142375416
train_7211,19921184,80,9416,1Fam,2,0,6,1900,1063,3,GasA,Y,894,0,2009,116894.351227192
train_8069,19921184,63,8248,1Fam,1,1,4,1900,641,2,GasA,Y,1212,0,2009,80818.1244986771
train_8475,19921184,67,2887,1Fam,1,0,8,1900,1273,2,GasA,Y,2134,0,2010,149785.953871615
train_8604,19921184,53,10208,Duplex,2,1,7,1900,848,4,GasA,Y,1600,0,2007,136936.751421828
test_855,19921184,68,10652,1Fam,1,1,7,1900,1040,2,GasA,Y,1525,0,2008,
test_920,19921184,,8125,1Fam,2,0,7,1900,384,4,GasA,Y,1992,0,2008,
test_2199,19921184,50,4590,1Fam,2,0,5,1900,884,3,GasA,Y,1224,0,2006,
test_2552,19921184,68,9100,1Fam,1,1,7,1900,858,3,GasA,Y,2727,0,2009,
test_2950,19921184,79,16770,1Fam,1,1,5,1900,1204,3,GasA,Y,1429,0,2006,
test_3351,19921184,64,10665,1Fam,1,0,7,1900,1860,2,GasA,Y,1092,0,2007,
test_4798,19921184,75,10690,1Fam,1,1,6,1900,1358,3,GasA,Y,1328,0,2009,
train_41,2860211,50,6120,1Fam,1,0,6,1900,768,3,GasA,Y,904,0,2008,120366.831790006
train_3143,2860211,77,12416,Duplex,2,0,5,1900,1498,3,GasA,Y,2332,0,2009,195230.832169842
train_3384,2860211,,21750,1Fam,2,0,5,1900,912,3,GasA,Y,1008,0,2007,145426.251614696
test_1510,2860211,80,10800,1Fam,2,0,6,1900,1809,4,GasA,Y,2452,0,2006,
test_3359,2860211,51,14762,1Fam,2,1,8,1900,1947,3,GasA,Y,1728,0,2010,
train_1834,4121950,88,10020,1Fam,2,1,6,1900,858,2,GasA,N,1561,0,2009,135667.936458275
train_6065,4121950,69,10084,1Fam,1,1,4,1900,1710,3,GasA,Y,1340,0,2007,138603.470616873
train_9258,4121950,70,7642,1Fam,1,0,9,1900,1728,3,GasA,Y,1044,0,2010,124385.493481529
train_9846,4121950,70,13600,1Fam,1,1,8,1900,858,3,GasA,Y,894,0,2007,107539.076441904
test_2108,4121950,60,53107,1Fam,2,1,6,1900,804,3,GasA,Y,1402,0,2006,
test_3774,4121950,48,13265,1Fam,2,0,5,1900,990,2,GasA,N,1552,0,2007,
train_3469,24644229,80,7590,1Fam,1,1,5,1900,952,3,GasA,Y,2200,0,2008,138360.333091727
train_450,22012553,93,9900,TwnhsE,2,0,4,1900,1626,3,GasA,Y,1707,0,2009,135534.460706862
train_150,87199179,,2645,TwnhsE,1,0,5,1900,1273,3,GasA,Y,1481,0,2009,129125.35525952
train_1341,87199179,60,10237,1Fam,2,0,7,1900,1141,3,GasA,Y,1232,0,2006,143812.895310511
train_3734,87199179,47,3230,1Fam,1,1,7,1900,1842,2,GasA,Y,1656,0,2008,160041.228223855
train_6534,87199179,40,7200,1Fam,2,0,10,1900,1728,3,GasA,Y,2002,0,2010,161040.182334266
train_6773,87199179,80,9947,1Fam,1,0,6,1900,1595,3,GasA,Y,866,0,2006,105244.900266503
train_6844,87199179,52,8500,1Fam,2,0,5,1900,864,2,GasA,Y,1125,0,2010,93897.1129457007
train_6856,87199179,75,12342,TwnhsE,2,1,5,1900,600,3,GasA,Y,1285,0,2008,128589.71240212
train_7841,87199179,72,9245,1Fam,2,0,7,1900,1086,3,GasA,Y,803,0,2006,103452.577431718
train_8261,87199179,64,8765,TwnhsE,1,1,6,1900,740,3,GasA,Y,1268,0,2006,120134.061473283
train_8718,87199179,50,7943,1Fam,2,1,6,1900,1496,3,GasA,Y,1922,0,2006,157564.506810709
train_9428,87199179,60,14191,1Fam,1,1,6,1900,832,3,GasA,Y,972,0,2006,97324.1552127377
train_9708,87199179,,12798,1Fam,1,0,10,1900,630,3,GasA,Y,1764,0,2008,127361.889261211
test_1795,87199179,129,13265,1Fam,2,1,5,1900,847,3,GasA,Y,1440,0,2007,
test_4106,87199179,,10440,1Fam,3,1,9,1900,1163,3,GasA,Y,4676,0,2009,
test_4764,87199179,130,14963,Duplex,2,1,8,1900,1452,6,GasW,Y,752,0,2009,
test_4881,87199179,71,12378,1Fam,1,0,8,1900,816,3,GasA,Y,1768,0,2006,
train_1486,16932225,,5000,1Fam,2,1,7,1900,793,4,GasA,Y,1200,0,2006,99256.4288425414
train_6576,16932225,,11075,1Fam,1,1,5,1900,1218,3,GasA,Y,2596,0,2006,181649.985852267
train_6952,16932225,,7875,Duplex,1,0,5,1900,1478,3,GasA,Y,2082,0,2007,124225.374116042
train_7225,16932225,69,8400,1Fam,1,0,10,1900,1604,3,GasA,Y,1505,0,2009,158874.924992341
test_776,16932225,32,12046,2fmCon,1,0,5,1900,1416,4,GasA,Y,2028,0,2007,
test_4924,16932225,121,10480,1Fam,2,1,8,1900,970,2,GasA,Y,912,0,2007,
train_159,97195160,129,8520,Duplex,2,0,6,1900,686,3,GasA,Y,1479,0,2007,160000.974165625
train_3004,97195160,55,8121,Twnhs,1,0,6,1900,856,2,GasA,Y,2610,0,2008,119313.000518216
train_4041,97195160,66,10125,1Fam,1,0,8,1900,2035,2,GasA,N,1097,0,2006,159058.080155041
test_1044,97195160,67,18800,1Fam,3,1,4,1900,1057,4,GasA,Y,1919,0,2007,
test_4810,246250102,80,4500,1Fam,1,0,7,1900,1161,5,GasA,Y,1489,0,2008,
test_1640,3472229,174,8899,1Fam,2,1,7,1900,1128,4,GasA,Y,1661,0,2006,
train_330,9523434,64,28698,1Fam,2,0,7,1900,948,4,GasA,Y,2324,0,2006,221070.133903783
train_1347,9523434,65,5395,1Fam,2,1,6,1900,1461,3,GasA,Y,2473,0,2010,207777.017920602
train_59,140253130,,8160,1Fam,2,1,7,1900,794,3,GasA,Y,1632,0,2006,173671.161318121
train_1539,140253130,,9750,1Fam,1,0,7,1900,1392,2,GasA,Y,1032,0,2008,149742.457387605
train_1931,140253130,60,7153,1Fam,2,0,6,1900,1175,2,GasA,Y,848,0,2009,129096.328440904
train_2008,140253130,71,10594,1Fam,1,0,7,1900,1086,3,GasA,Y,2046,0,2008,162719.913717504
train_2602,140253130,92,2500,1Fam,2,0,4,1900,864,2,GasA,Y,1228,0,2007,146760.469365179
train_2796,140253130,70,9248,1Fam,1,1,6,1900,1606,2,GasA,Y,1471,0,2009,125041.015498369
train_3782,140253130,,3230,1Fam,2,0,6,1900,1453,3,GasA,Y,2157,0,2006,217513.480375009
train_4117,140253130,,10382,Duplex,2,0,5,1900,1340,3,GasA,Y,1800,0,2009,161945.823235883
train_6460,140253130,,9600,Duplex,2,0,7,1900,856,2,GasA,Y,2448,0,2006,214975.525132447
train_6855,140253130,80,4571,1Fam,1,0,8,1900,1833,2,GasA,Y,1199,0,2010,143893.991750308
train_7218,140253130,,10800,1Fam,2,0,5,1900,1800,3,GasA,Y,1634,0,2008,178409.182058025
test_168,140253130,85,8100,Twnhs,1,0,7,1900,998,3,GasA,Y,1635,0,2008,
test_1213,140253130,,46589,1Fam,1,0,4,1900,483,3,GasA,Y,1145,0,2006,
test_1830,140253130,100,11478,1Fam,2,0,6,1900,1032,3,GasA,Y,1701,0,2007,
test_3194,140253130,,8546,1Fam,2,0,5,1900,853,2,GasA,Y,2000,0,2008,
test_3246,140253130,,4058,1Fam,1,0,4,1900,1218,1,GasA,Y,2452,0,2009,
train_902,15073124,,11040,1Fam,2,0,8,1900,1248,3,GasA,Y,1378,0,2008,172833.007017789
train_966,15073124,100,8198,1Fam,1,0,5,1900,756,3,GasA,Y,2520,0,2006,172942.959174892
train_4919,15073124,75,11900,1Fam,2,0,6,1900,1114,3,GasA,Y,1363,0,2006,140525.940574547
train_5535,15073124,85,7136,1Fam,2,1,6,1900,551,3,GasA,Y,948,0,2009,156119.37267707
train_6912,15073124,81,7875,1Fam,1,0,5,1900,784,2,GasA,Y,1535,0,2010,128152.295289186
train_8048,15073124,,8520,1Fam,1,0,4,1900,2121,3,GasA,N,1826,0,2006,218382.510595941
train_9847,15073124,67,7438,1Fam,1,0,9,1900,1494,3,GasA,Y,1350,0,2009,183378.705098285
test_328,15073124,120,15138,1Fam,2,0,6,1900,1095,3,GasA,Y,1262,0,2009,
test_3603,15073124,,8741,TwnhsE,2,0,7,1900,612,3,GasA,Y,1362,0,2006,
test_4765,15073124,80,1680,1Fam,2,0,6,1900,965,3,GasA,Y,1646,0,2008,
train_260,75107234,76,8530,1Fam,1,0,8,1900,1502,4,GasA,Y,1360,0,2008,176198.827967657
train_544,75107234,,12435,TwnhsE,2,0,7,1900,1368,1,GasA,Y,1644,0,2010,202775.595942604
train_4177,75107234,,5500,1Fam,2,0,7,1900,1316,2,GasA,Y,1381,0,2009,144246.042475351
train_9183,75107234,84,8450,1Fam,2,1,6,1900,1414,3,GasA,Y,800,0,2006,153664.280237145
test_4148,75107234,50,10421,1Fam,2,0,7,1900,2121,3,GasA,Y,1949,0,2006,
train_1460,707033,92,3951,1Fam,1,1,4,1900,848,2,GasA,N,2035,0,2008,221228.922660644
train_3201,707033,50,9018,1Fam,2,0,7,1900,1097,2,GasA,Y,1680,0,2007,197578.377794597
train_4098,707033,85,6897,1Fam,1,1,7,1900,848,3,GasA,Y,1756,0,2009,174494.268113023
train_5548,707033,100,17600,1Fam,2,0,6,1900,1392,2,GasA,Y,1225,0,2006,218437.604195673
train_7861,707033,52,12220,1Fam,2,1,8,1900,672,3,GasA,Y,1252,0,2007,187178.08680337
train_8075,707033,94,9100,1Fam,1,0,7,1900,1086,3,GasA,Y,720,0,2009,139234.455906449
train_9602,707033,63,9196,TwnhsE,3,0,10,1900,992,2,GasA,Y,1142,0,2007,158413.126902962
test_3089,707033,63,7226,1Fam,2,0,5,1900,1086,3,GasA,Y,1792,0,2007,
test_4932,707033,,4403,1Fam,1,0,8,1900,630,3,GasA,Y,1646,0,2008,
train_3278,254104193,174,11120,2fmCon,2,1,5,1900,860,3,GasA,Y,1820,0,2006,190986.264988686
train_3315,254104193,75,9873,1Fam,2,0,6,1900,1010,2,GasW,Y,1216,0,2006,191093.556774264
train_4363,254104193,44,9600,1Fam,2,0,6,1900,728,4,GasA,Y,1911,0,2008,183806.914449542
test_1799,254104193,90,5925,1Fam,2,0,7,1900,840,4,GasA,Y,2576,0,2010,
train_1819,2161751,85,2651,1Fam,1,1,5,1900,1107,5,GasA,Y,1039,0,2008,166730.008297133
